Title,Rotten_Tomatoes_Score,Audience_Score,Info_Text,Rating,Genre,Dircted_By,Written_BY,In_Theaters,On_Sisc/Streaming,Box_Office,Runtime,Studio,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Review_1,Review_2,Review_3,Review_4,Review_5,Review_6,Review_7,Review_8,Review_9,Review_10
Lady Bird,99,79%,"In Lady Bird, Greta Gerwig reveals herself to be a bold new cinematic voice with her directorial debut, excavating both the humor and pathos in the turbulent bond between a mother and her teenage daughter. Christine ""Lady Bird"" McPherson (Saoirse Ronan) fights against but is exactly like her wildly loving, deeply opinionated and strong-willed mom (Laurie Metcalf), a nurse working tirelessly to keep her family afloat after Lady Bird's father (Tracy Letts) loses his job. Set in Sacramento, California in 2002, amidst a rapidly shifting American economic landscape, Lady Bird is an affecting look at the relationships that shape us, the beliefs that define us, and the unmatched beauty of a place called home.","R (for language, sexual content, brief graphic nudity and teen partying)","Comedy, Drama",Greta Gerwig,Greta Gerwig,"Nov 3, 2017 limited","Mar 6, 2018","$48,285,330",93 minutes,A24,Saoirse Ronan,Laurie Metcalf,Tracy Letts,Lucas Hedges,Timothée Chalamet,Beanie Feldstein,"Lady Bird is a brilliant little movie that deals with ideas both big and small. But, most powerful is the relationship between Lady Bird and Marion. It is harsh and funny and sometimes hard to watch. But it is undeniably and eternally there. ","Gerwig finds a warmer part of herself when, unencumbered by any lab partner, she returns to her hometown with Lady Bird. One can only hope that, this time, she stays.",A heartfelt coming-of-age story that perfectly captures the bittersweet transition from adolescence to dawning adulthood... ,"""Lady Bird"" is a deeply accomplished debut, as much a love letter to Gerwig's hometown as it is to awkward adolescence. It flies.","Lots of movies are set to be popping up in multiplexes, but few as wonderful as ""Lady Bird.""",One of the best movies about adolescence to come along in years.,"It is a female coming-of-age story that is both nostalgic and unflinching, and it will ensnare you deeply in its grasp.",An endearing film experience that's profoundly captivating. [Full Review in Spanish] , The story speckled with humor and emotionally charged moments is the perfect coming of age story for the everyday woman.,"There are certain films that strike a personal chord, and Lady Bird is one of those despite the fact that I am both male and Canadian and this is set in Sacramento featuring Saoirse Ronan as the lead."
Get Out,99,86%,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway upstate with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he could have never imagined.","R (for violence, bloody images, and language including sexual references)","Comedy, Horror, Mystery & Suspense",Jordan Peele,Jordan Peele,"Feb 24, 2017 wide","May 23, 2017","$175,428,355",104 minutes,Universal Pictures,Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford,Caleb Landry Jones,Marcus Henderson,Kudos to Peele for tackling a painful subject in such a massively entertaining and thoroughly memorable fashion. [Full review in Japanese],By focusing the storyline on a particular form of racism -- the kind that's often disguised as peculiar envy -- Get Out reveals something more insidious.,"Peele succeeds where sometimes even more experienced filmmakers fail: He's made an agile entertainment whose social and cultural observations are woven so tightly into the fabric that you're laughing even as you're thinking, and vice-versa.","What makes Get Out more than just a slam-bang scarefest is that, in its own darkly satiric way, it is also a movie about racial paranoia that captures the zeitgeist in ways that many more ""prestigious"" movies don't.",Jordan Peele makes his directing debut with a horror movie that sticks closely to genre convention even as its ribbing of white liberals hardens into a social point. ,"Following Oscar's pomp and self-importance, viewing Jordan Peele's fiercely entertaining thriller offers the perfect awards hangover cure. Audiences leave the theater shaken and stirred.","Racism doesn't always have to be virulent, it can sometimes take benevolent and malicious forms as displayed in this haunting and topical film.","Peele's parting thought is not to insist that we are destined to be slaves to the narrow thinking of others, but that we have a responsibility to remain cautious and vocal until such ideas have been destroyed. Get Out is an urgent call to that necessity.","In using both realities in his movie, Peele brings Get Out to a higher level of horror, at least for any person of color in the audience. We're all keenly aware of how possible it is.","Although with some touches of predictability, ""Get Out"" is an interesting proposal in a cinema that seems to repeat itself again and again. [Full review in Spanish]"
Coco,97,94%,"Despite his family's baffling generations-old ban on music, Miguel (voice of newcomer Anthony Gonzalez) dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz (voice of Benjamin Bratt). Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector (voice of Gael García Bernal), and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",PG (for thematic elements),"Action & Adventure, Animation, Comedy","Lee Unkrich, Adrian Molina","Matthew Aldrich, Adrian Molina","Nov 22, 2017 wide","Feb 27, 2018","$208,487,719",None,Disney/Pixar,Anthony Gonzalez (VIII) ,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renée Victor,Jaime Camil,"Of every Pixar film that deals with family, memory, and loss, ask, ""Is there sufficient reason for the tears that will inevitably run down my face by the end?"" Yes, thanks in no small part to the ingenious use of De La Cruz's hit song, ""Remember Me.""","Does Coco rise to the heights of Pixar's very best work? No. But it is a generous, heartfelt film, full of color and music, one that offers a timely Thanksgiving tribute to the intergenerational importance of family. ","None of Coco's few flaws can fatally undermine the film because it is, most of all, a smart and enduring piece of storytelling with a satisfyingly twisting narrative and richly complex theme. ",This engaging Pixar animation plays magnificently with elements of Mexican folklore and fine art.,"Pixar rebounds nicely with Coco, a big, spangly animated fiesta with its fair share of ""heart.""","Enchanting and dazzling, Coco is a resplendent love letter to Mexico.",All you really need to know is this: Pixar knocks another one out of the graveyard and into the afterlife.,"On the whole, Coco is a stunning achievement from the most consistently impressive animation studio in the business.","The filmmakers ""captured"" a living story, made it their own and gave it to the world. [Full review in Spanish}",Pixar has outdone itself. [Full review in Spanish]
Dunkirk,92,81%,"Acclaimed auteur Christopher Nolan directs this World War II thriller about the evacuation of Allied troops from the French city of Dunkirk before Nazi forces can take hold. Tom Hardy, Kenneth Branagh and Mark Rylance co-star, with longtime Nolan collaborator Hans Zimmer providing the score.",PG-13 (for intense war experience and some language),"Action & Adventure, Drama",Christopher Nolan,Christopher Nolan,"Jul 21, 2017 wide","Dec 19, 2017","$188,042,171",107 minutes,Warner Bros. Pictures,Fionn Whitehead,Tom Glynn-Carney,Jack Lowden,Harry Styles,Aneurin Barnard,James D'Arcy,Masterful visual storytelling on an epic scale.,"Few films have stripped war down to its terrifying, thrilling essence as Christopher Nolan's Dunkirk, and few films have turned war into such an overwhelming, almost physical experience.",Nolan's sense of memory and of history is as flattened-out and untroubled as his sense of psychology and of character.,"It isn't a standard war movie, but it sure is some beautiful, difficult thing.","Occasional bursts of flames, imperiling many of the effectively nameless characters, come as a relief from the chromatic tedium.","The movie works. Time and again, the action swells and dips, like a wave, then suddenly delivers a salty slap in the face.","Unlike much of Christopher Nolan's oeuvre, ""Dunkirk"" is a fine successor to war films like ""Saving Private Ryan,"" yet it tries hard in places not to bore its audience.",At a deeper level it is a testament to the audacious power of pure elemental filmmaking.,"What we're left with at the end of the horror, panic, and grim determination is a dawning sense of grace. ","Dunkirk comes in at a taut 106 minutes, and there isn't a wasted second. "
The Big Sick,98,88%,"Based on the real-life courtship between Kumail Nanjiani and Emily V. Gordon, THE BIG SICK tells the story of Pakistan-born aspiring comedian Kumail (Nanjiani), who connects with grad student Emily (Kazan) after one of his standup sets. However, what they thought would be just a one-night stand blossoms into the real thing, which complicates the life that is expected of Kumail by his traditional Muslim parents. When Emily is beset with a mystery illness, it forces Kumail to navigate the medical crisis with her parents, Beth and Terry (Holly Hunter and Ray Romano) who he's never met, while dealing with the emotional tug-of-war between his family and his heart. THE BIG SICK is directed by Michael Showalter (HELLO MY NAME IS DORIS) and producer by Judd Apatow (TRAINWRECK, THIS IS 40) and Barry Mendel (TRAINWRECK, THE ROYAL TENENBAUMS).",R (for language including some sexual references),"Comedy, Romance",Michael Showalter,"Kumail Nanjiani, Emily V. Gordon","Jul 14, 2017 wide","Sep 19, 2017","$42,824,653",119 minutes,Amazon Studios,Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano,Anupam Kher,Matty Cardarople,"It's a joy to watch two ""real people"" (albeit unusually witty, clever and attractive ""real people"") fall in and out and back in love. And, it's particularly satisfying that their mothers have so much to do with it. ","It's funny, touching, and perceptive.","""The Big Sick"" has a big heart and shows there are still corners left to explore in romantic comedies; it just takes someone willing to find them.","""The Big Sick"" has a lot of charm.","Mostly, the movie works for the reason that all the best rom-coms do: you fall in love, a little bit, with Kumail and Emily, and want them to stay together.","""The Big Sick"" suffers from an excess of pleasantness, and this very pleasantness thins out its substance, blands out its tone, weakens its comedy.","I left The Big Sick feeling charmed, even though I could probably count the amount of times I laughed on one hand. ","The film's formula is evocative of feelings, without losing the internal tragedy and without trivializing anything. [Full Review in Spanish] ","The ultimate message is that, once we find love, vows are worth both taking and keeping.","The Big Sick is that rarest of romantic comedies, in that it's both funny (often hilariously so) and poignant while still allowing its characters to grow and develop despite the constraints of the genre."
Wonder Woman,92,88%,"An Amazon princess (Gal Gadot) finds her idyllic life on an island occupied only by female warriors interrupted when a pilot (Chris Pine) crash-lands nearby. After rescuing him, she learns that World War I is engulfing the planet, and vows to use her superpowers to restore peace. Directed by Patty Jenkins (Monster).","PG-13 (for sequences of violence and action, and some suggestive content)","Action & Adventure, Drama, Science Fiction & Fantasy",Patty Jenkins,"Allan Heinberg, Zack Snyder, Jason Fuchs","Jun 2, 2017 wide","Sep 19, 2017","$412,400,625",141 minutes,Warner Bros. Pictures,Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,Danny Huston,David Thewlis,"It's thrilling that Wonder Woman is enjoying the critical and commercial success that it is. But, in some ways it's also unfair. There is more weight than one film by one director about one woman should bear. ","As befitting the genre, Wonder Woman is heroic and spirited. The fighting sequences are spectacular, and the story is engrossing, uplifting and fun. There's even a bit of romance and humor amid all the action. [Full review in Japanese]","""Wonder Woman"" is a superhero movie, and it fulfills the heroic and mythic demands of that genre, but it's also an entry in the genre of wisdom literature that shares hard-won insights and long-pondered paradoxes of the past with a sincere intimacy.","Beauty, strength, goodness, bravery: These are your values, and here is how your values must look.",Jenkins tries not only to include men on Wonder Woman's side but also to make male viewers feel better about a woman saving them.,"The final big action sequence, as now seems always to be the case, is a messy and overwrought CGI extravaganza. But at least the movie that precedes it involves actual characters-likeable ones, even!-exhibiting recognizable human emotions.",The script by is unusually introspective ,Watching Wonder Woman felt like breathing out a sigh of relief.,I just really liked seeing a superhero that WANTS to be a superhero in a superhero movie. ,It represents a clear-eyed view of the world.
Logan,93,90%,"It's 2029. Mutants are gone--or very nearly so. An isolated, despondent Logan is drinking his days away in a hideout on a remote stretch of the Mexican border, picking up petty cash as a driver for hire. His companions in exile are the outcast Caliban and an ailing Professor X, whose singular mind is plagued by worsening seizures. But Logan's attempts to hide from the world and his legacy abruptly end when a mysterious woman appears with an urgent request--that Logan shepherd an extraordinary young girl to safety. Soon, the claws come out as Logan must face off against dark forces and a villain from his own past on a live-or-die mission, one that will set the time-worn warrior on a path toward fulfilling his destiny.","R (for strong brutal violence and language throughout, and for brief nudity)","Action & Adventure, Drama, Science Fiction & Fantasy",James Mangold,"James Mangold, Scott Frank, Michael Green","Mar 3, 2017 wide","May 23, 2017","$226,276,809",135 minutes,20th Century Fox,Hugh Jackman,Patrick Stewart,Boyd Holbrook,Stephen Merchant,Dafne Keen,Richard E. Grant,"Make no mistake, Logan earns its tears. If Jackman and Stewart are serious about this being their mutual X-Men swan song, they could not have crafted a more heartfelt valedictory.","Jackman and Stewart are why Logan works-why the film doesn't feel like a cheap exercise in bloody violence, and its subversion of typical superhero-movie tropes feels organic.",Another expensive throwaway aimed at milking money out of people who still read comic books. Color it stupid.,"Strips away the spandex, the posse and the chaos, distilling the story down to the essence of the man, Logan. What's left is the agony and the ecstasy of mutanthood. ","Jackman gives Logan a withering rage that seems heartfelt, not hammy; Stewart is touching in his enraged befuddlement; and Keen, who resembles here what Katie Holmes might look like if she were Carrie, has a feral intensity.","[Director] Mangold drags [Wolverine] - much older, if not much wiser - into a Western, and ends up with the best superhero movie in recent memory. ","Mangold's film is undoubtedly overlong and some stretches do drag, but Jackman and Stewart's superb, nuanced performances ensure that it's not just the fight scenes but also the emotionally charged ones that really pack a punch.",An harsh testament... to an enduring icon. [Full review in Spanish],"Even if the dire tone gives off the whiff of calculation, its violence and profanity are liberating, a closing of the gap between comic book fantasy and life as we recognize it.","After some nine X-Men movies of various stripes and styles including a couple of previous stand-alone Wolverine films, I had little hope that the best was yet to come. But indeed it has come in the form of Logan..."
Star Wars: The Last Jedi,91,47%,"In Lucasfilm's Star Wars: The Last Jedi, the Skywalker saga continues as the heroes of The Force Awakens join the galactic legends in an epic adventure that unlocks age-old mysteries of the Force and shocking revelations of the past.",PG-13 (for sequences of sci-fi action and violence),"Action & Adventure, Drama, Science Fiction & Fantasy",Rian Johnson,"Rian Johnson, George Lucas","Dec 15, 2017 wide","Mar 27, 2018","$619,117,636",152 minutes,Walt Disney Pictures,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley,John Boyega,Oscar Isaac,"What's most interesting to me about The Last Jedi is Luke's return as the mentor rather than the student, grappling with his failure in this new role, and later aspiring to be the wise and patient teacher.","Fanatics will love it; for the rest of us, it's a tolerably good time.","When the salt settles, we are left with neither triumph nor tragedy; instead, it's one more chapter in the continuing saga, punctuated by a few moments of genuine awe.","In a world bursting with flashy popcorn movies, there's still nothing quite like a ""Star Wars"" flick.",The Last Jedi probably does the best job of any Star Wars film of capturing the allure of the Dark Side and the spiritual turmoil that would lead to-and also result from-its embrace.,"Nothing in ""The Last Jedi"" is allowed to be mundane, including the places the filmmakers take the story.",The Last Jedi speaks for the strength of a united front against imperial aggression...The final image leaves us with the assurance that young people tired of injustice will pick up the ball their elders dropped.,"On a second pass, the questionable was extremely overpowered by the bold and the courageous, and I saw Star Wars: The Last Jedi through a different prism. I connected with it differently. ","Star Wars: The Last Jedi may not be perfect, but the need to accept imperfection and keep going becomes one of the movie's themes...It's about mentorship that's invigorating rather than smothering.",The great strength of the eighth part is also how it plays with the expectations of the audience. [Full review in Spanish]
The Shape of Water,92,74%,"From master story teller, Guillermo del Toro, comes THE SHAPE OF WATER - an other-worldly fairy tale, set against the backdrop of Cold War era America circa 1962. In the hidden high-security government laboratory where she works, lonely Elisa (Sally Hawkins) is trapped in a life of isolation. Elisa's life is changed forever when she and co-worker Zelda (Octavia Spencer) discover a secret classified experiment. Rounding out the cast are Michael Shannon, Richard Jenkins, Doug Jones and Michael Stuhlbarg.","R (for sexual content, graphic nudity, violence and language)","Drama, Science Fiction & Fantasy, Romance",Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor","Dec 22, 2017 wide","Mar 13, 2018","$57,393,976",119 minutes,Fox Searchlight Pictures,Sally Hawkins,Michael Shannon,Richard Jenkins,Doug Jones,Michael Stuhlbarg,Octavia Spencer,"The movie's worldview is as easy to like as the protagonist and her friends, but del Toro lays it on so thick that there's no room for counterargument or even independent thought.","""The Shape of Water"" is director Guillermo del Toro's finest film, a lovely, empathetic tribute to Old Hollywood, monster movies, outsiders and love that could only come from the mind of the visionary filmmaker.","The more I try to find some kind of justifiable meaning and relevance, the more I find The Shape of Water a loopy, lunkheaded load of drivel.","The visual stylist spins an adult fairy tale that takes elements from ""Beauty and the Beast"" and recasts them in an alternative universe that's a wonderfully rendered twist on our own.","An enchanting re-imagining of ""Beauty and the Beast,"" it is an unforgettably romantic, utterly sublime, dazzling phantasmagoria.","""The Shape of Water"" is one of the best films of the year.",Del Toro has such a distinct vision for his films and never disappoints on delivering a world so vibrant and stunning.,"A captivating ode to monster movies past with a passionately inclusive message that units a group of ""others"" in their fight against the oppressive majority.","Del Toro takes the central relationship seriously, and the weight of the villain makes us care for the characters and hope they'll be buoyed by their friendships.","The progressive agenda wins the Oscar! Love that! Wait, nope-I draw the line at interspecies carnality. When protesting persecution and lauding universal love, at least pick a metaphor not as universally reviled as bestiality. It's not twee, it's gross."
